Subject	Consent	Sex
HG03228	1	male
HG03235	1	female
HG03419	1	female
HG03095	1	female
HG03433	1	male
HG03103	1	male
HG03108	1	female
HG03298	1	male
HG03301	1	male
HG03172	1	male
HG03189	1	female
HG03313	1	male
HG03196	1	male
HG03351	1	female
HG03363	1	female
HG03040	1	female
HG03045	1	male
HG03370	1	male
HG03052	1	female
HG03267	1	female
HG03057	1	male
HG03279	1	female
HG03064	1	female
HG03139	1	male
HG03382	1	male
HG03394	1	male
HG03160	1	male
HG03127	1	male
HG03115	1	male
HG03069	1	male
HG03539	1	female
HG03558	1	female
HG03088	1	female
HG03565	1	male
HG03464	1	female
HG03247	1	female
HG03469	1	male
HG03259	1	female
HG03449	1	female
HG03476	1	female
HG03451	1	male
HG03572	1	female
HG03577	1	male
HG03401	1	female
HG03432	1	male
HG03589	1	female
HG03437	1	female
HG03297	1	female
HG03604	1	female
HG03300	1	female
HG03445	1	male
HG03452	1	female
HG03457	1	male
HG03343	1	male
HG03642	1	female
HG03367	1	male
HG03515	1	male
HG03488	1	female
HG03470	1	female
HG03490	1	male
HG03611	1	female
HG03280	1	male
HG03616	1	female
HG03692	1	female
HG03697	1	male
HG03538	1	male
HG03705	1	male
HG03767	1	male
HG03557	1	female
HG03774	1	female
HG03779	1	male
HG03634	1	female
HG03781	1	female
HG03750	1	male
HG03755	1	male
HG03646	1	male
HG03762	1	female
HG03729	1	male
HG03571	1	male
HG03731	1	female
HG03736	1	female
HG03583	1	female
HG03743	1	male
HG03499	1	female
HG03673	1	female
HG03514	1	female
HG03680	1	male
HG03685	1	male
HG03521	1	male
HG03786	1	male
HG03653	1	female
HG03793	1	female
HG03660	1	male
HG03672	1	male
HG03595	1	female
HG03717	1	female
HG03603	1	male
HG03684	1	female
HG03894	1	female
HG03689	1	female
HG03899	1	male
HG03691	1	male
HG03902	1	male
HG03615	1	male
HG03907	1	female
HG03832	1	female
HG03837	1	male
HG03773	1	male
HG03844	1	male
HG03778	1	male
HG03849	1	female
HG03780	1	female
HG03969	1	male
HG03817	1	female
HG03971	1	male
HG03824	1	male
HG03976	1	male
HG03829	1	female
HG03990	1	male
HG03709	1	female
HG03870	1	male
HG03711	1	male
HG03875	1	male
HG03716	1	male
HG03882	1	female
HG03785	1	male
HG03887	1	male
HG03792	1	male
HG03851	1	male
HG03856	1	male
HG03800	1	male
HG03863	1	female
HG03805	1	female
HG03868	1	female
HG03812	1	male
HG03914	1	male
HG03696	1	male
HG03919	1	female
HG03926	1	male
HG03754	1	female
HG03940	1	female
HG03945	1	female
HG03730	1	female
HG03742	1	male
HG03836	1	female
HG04222	1	male
HG03848	1	male
HG04227	1	female
HG03850	1	male
HG04239	1	male
HG03944	1	female
HG04056	1	male
HG03949	1	female
HG04063	1	female
HG03951	1	female
HG04070	1	female
HG03963	1	male
HG04075	1	female
HG03968	1	female
HG04094	1	male
HG04099	1	female
HG04029	1	female
HG04107	1	male
HG03995	1	female
HG03874	1	female
HG04001	1	female
HG04006	1	male
HG03886	1	female
HG04018	1	female
HG03898	1	female
HG04020	1	male
HG04152	1	male
HG03913	1	female
HG04164	1	male
HG03920	1	male
HG04171	1	female
HG03925	1	female
HG04195	1	female
HG03999	1	male
HG04017	1	male
HG04210	1	male
HG03937	1	female
HG04176	1	male
HG03862	1	female
HG04183	1	female
HG03867	1	male
HG04188	1	male
HG04140	1	male
NA06994	2	male
HG04025	1	female
NA07000	2	female
NA12827	2	male
NA07048	2	male
NA12872	2	male
NA12889	2	male
NA18488	2	female
HG04194	1	male
NA11893	2	male
NA11918	2	female
HG04202	1	female
NA11920	2	female
HG04093	1	male
NA11932	2	male
HG04098	1	male
NA11994	2	male
HG04106	1	female
NA12005	2	male
HG04118	1	female
NA12043	2	male
NA12144	2	male
HG04062	1	female
NA11829	2	male
HG04182	1	male
NA11831	2	male
NA11843	2	male
NA11881	2	male
HG04144	1	female
NA12156	2	female
NA12283	2	female
HG04156	1	female
NA12341	2	female
HG04214	1	female
NA07051	2	male
HG04219	1	male
NA07056	2	female
HG04238	1	male
NA07347	2	male
NA12155	2	male
NA12249	2	female
NA12776	2	female
NA12275	2	female
NA12815	2	female
NA12282	2	male
NA12287	2	female
NA12340	2	male
NA12751	2	female
NA12763	2	female
NA12775	2	male
NA07037	2	female
NA12814	2	male
NA12383	2	female
NA18522	2	male
NA12489	2	female
NA12718	2	female
NA18534	2	male
NA12749	2	female
NA18539	2	female
NA18499	2	female
NA18541	2	female
NA18502	2	female
NA18507	2	male
NA18508	2	female
NA18519	2	male
NA18510	2	male
NA18572	2	male
NA12890	2	female
NA18577	2	female
NA18591	2	female
NA18596	2	female
NA11931	2	female
NA18609	2	male
NA12004	2	female
NA18868	2	male
NA18870	2	female
NA11830	2	female
NA18546	2	male
NA11892	2	female
NA18553	2	female
NA18526	2	female
NA18558	2	male
NA18533	2	female
NA18560	2	female
NA18538	2	female
NA18565	2	female
NA10851	2	male
NA18907	2	female
NA18571	2	female
NA18933	2	female
NA18595	2	female
NA18611	2	male
NA18603	2	male
NA18616	2	female
NA18608	2	male
NA18623	2	male
NA18545	2	female
NA18628	2	female
NA18552	2	female
NA18647	2	male
NA18557	2	male
NA18748	2	male
NA18564	2	female
NA18856	2	male
NA18879	2	male
NA18630	2	female
NA18881	2	female
NA18635	2	male
NA18642	2	female
NA19087	2	female
NA18610	2	female
NA19099	2	female
NA18615	2	female
NA19102	2	female
NA18622	2	male
NA18627	2	female
NA19056	2	male
NA19063	2	male
NA18867	2	female
NA18940	2	male
NA18874	2	male
NA18945	2	male
NA18634	2	female
NA18952	2	male
NA18639	2	male
NA18983	2	male
NA18641	2	female
NA18988	2	male
NA18646	2	female
NA18990	2	male
NA18747	2	male
NA18995	2	male
NA19068	2	male
NA18944	2	male
NA19070	2	male
NA18949	2	female
NA19075	2	male
NA18951	2	female
NA19082	2	male
NA18956	2	female
NA18969	2	female
NA18963	2	female
NA18971	2	male
NA18968	2	female
NA18976	2	female
NA19086	2	male
NA19020	2	male
NA19093	2	female
NA19025	2	male
NA19098	2	male
NA19037	2	female
NA19001	2	female
NA19137	2	female
NA19006	2	male
NA19144	2	male
NA18957	2	female
NA19149	2	female
NA18964	2	female
NA19113	2	male
NA19118	2	female
NA19210	2	male
NA19222	2	female
NA18999	2	female
NA19239	2	male
NA19000	2	male
NA19107	2	male
NA19005	2	male
NA19114	2	female
NA19012	2	male
NA19119	2	male
NA19017	2	female
NA19121	2	male
NA19067	2	male
NA19138	2	male
NA19074	2	female
NA19079	2	male
NA19081	2	female
NA19152	2	female
NA19043	2	male
NA19171	2	male
NA19055	2	male
NA19062	2	male
NA19190	2	female
NA18970	2	male
NA18975	2	female
NA19429	2	male
NA18982	2	male
NA19431	2	female
NA19024	2	female
NA19436	2	female
NA19031	2	male
NA19443	2	male
NA19036	2	female
NA19316	2	female
NA18987	2	female
NA19323	2	female
NA18994	2	male
NA19328	2	female
NA19207	2	male
NA19347	2	male
NA19214	2	female
NA19378	2	female
NA19238	2	female
NA19380	2	male
NA19466	2	male
NA19309	2	male
NA19473	2	female
NA19625	2	female
NA19385	2	male
NA19649	2	male
NA19397	2	male
NA19651	2	female
NA19257	2	female
NA19835	2	female
NA19308	2	male
NA19900	2	male
NA19310	2	female
NA19315	2	female
NA19917	2	female
NA19384	2	male
NA19657	2	female
NA19391	2	female
NA19664	2	male
NA19669	2	female
NA19404	2	female
NA19428	2	male
NA19676	2	male
NA19175	2	male
NA19741	2	male
NA19746	2	female
NA19327	2	female
NA19758	2	female
NA19334	2	male
NA19346	2	male
NA19430	2	male
NA19777	2	male
NA19435	2	female
NA19360	2	male
NA19789	2	male
NA19372	2	male
NA19467	2	female
NA19377	2	female
NA19474	2	female
NA19454	2	male
NA19652	2	male
NA19461	2	male
NA19771	2	male
NA19703	2	male
NA19776	2	female
NA19783	2	male
NA19722	2	female
NA19788	2	female
NA19734	2	female
NA19795	2	male
NA19719	2	female
NA20274	2	female
NA19726	2	male
NA19448	2	male
NA19455	2	male
NA19462	2	female
NA19682	2	male
NA20351	2	male
NA20356	2	male
NA19707	2	female
NA20503	2	female
NA19663	2	female
NA20298	2	male
NA19670	2	male
NA19740	2	female
NA20318	2	male
NA19752	2	female
NA20320	2	female
NA20332	2	female
NA19764	2	female
NA20508	2	female
NA19834	2	male
NA20510	2	male
NA19904	2	male
NA20515	2	male
NA19909	2	female
NA20522	2	female
NA19916	2	male
NA20527	2	male
NA19923	2	female
NA20534	2	male
NA20762	2	male
NA20127	2	female
NA20767	2	male
NA20774	2	female
NA20786	2	female
NA20798	2	male
NA20317	2	female
NA20801	2	male
NA20278	2	male
NA20806	2	male
NA20813	2	female
NA20818	2	female
NA20766	2	female
NA20539	2	male
NA20773	2	female
NA20541	2	female
NA20778	2	male
NA20589	2	female
NA20785	2	male
NA20755	2	male
NA20792	2	male
NA20832	2	female
NA20797	2	female
NA20849	2	female
NA20800	2	female
NA20851	2	female
NA20355	2	female
NA20856	2	female
NA20362	2	male
NA20281	2	male
NA20502	2	female
NA20507	2	female
NA20538	2	male
NA20540	2	female
NA20863	2	male
NA20588	2	male
NA20868	2	female
NA20754	2	male
NA20870	2	male
NA20759	2	male
NA20875	2	female
NA20761	2	female
NA21114	2	male
NA20514	2	female
NA21119	2	male
NA20519	2	male
NA20521	2	male
NA21126	2	male
NA20533	2	female
NA21087	2	male
NA21094	2	male
NA20894	2	female
NA20348	2	male
NA20899	2	female
NA20902	2	female
NA20862	2	female
NA21099	2	male
NA20867	2	male
NA21102	2	female
NA20874	2	female
NA21107	2	male
NA20882	2	female
NA20881	2	female
NA20887	2	male
NA20886	2	female
NA20805	2	male
NA20812	2	male
NA21133	2	male
NA20850	2	male
NA21137	2	female
NA21144	2	female
NA20901	2	male
NA20906	2	female
NA21113	2	male
NA21118	2	male
NA21120	2	female
NA21125	2	female
NA21098	2	male
NA21101	2	female
NA21106	2	female
NA21086	2	female
NA21093	2	male
HG00157	1	male
HG00171	1	female
HG00176	1	female
HG00183	1	male
HG00188	1	male
HG00190	1	male
HG00234	1	male
HG00107	1	male
HG00114	1	male
HG00119	1	male
HG00121	1	female
HG00126	1	male
HG00133	1	female
HG00138	1	male
HG00140	1	male
HG00145	1	male
HG00099	1	female
HG00102	1	female
HG00513	1	female
HG00525	1	female
HG00537	1	female
HG00551	1	female
HG00599	1	female
HG00607	1	male
HG00614	1	female
HG00619	1	male
HG00239	1	female
HG00246	1	male
HG00253	1	female
HG00258	1	female
HG00260	1	male
HG00265	1	male
HG00436	1	male
HG00443	1	female
HG00448	1	male
HG00479	1	female
HG00311	1	male
HG00323	1	female
HG00328	1	female
HG00330	1	female
HG00335	1	male
HG00342	1	male
HG00361	1	female
HG00366	1	male
HG00373	1	female
HG00378	1	female
HG00380	1	female
HG00113	1	male
HG00272	1	female
HG00118	1	female
HG00277	1	male
HG00120	1	female
HG00284	1	male
HG00125	1	female
HG00304	1	female
HG00309	1	female
HG00101	1	male
HG00556	1	male
HG00106	1	female
HG00657	1	female
HG00671	1	male
HG00683	1	male
HG01092	1	female
HG01097	1	male
HG01105	1	female
HG01112	1	male
HG00626	1	female
HG00638	1	female
HG00640	1	male
HG00358	1	male
HG00690	1	female
HG00360	1	male
HG00365	1	female
HG00708	1	female
HG00372	1	male
HG01047	1	male
HG01054	1	male
HG00384	1	female
HG01061	1	female
HG00404	1	female
HG01066	1	male
HG01073	1	female
HG00524	1	male
HG01080	1	female
HG00531	1	female
HG01085	1	male
HG00536	1	male
HG01124	1	male
HG00543	1	female
HG01131	1	female
HG01136	1	male
HG00734	1	female
HG00473	1	female
HG00739	1	male
HG00478	1	male
HG00500	1	male
HG01028	1	male
HG00269	1	female
HG01148	1	male
HG00271	1	male
HG00276	1	female
HG01162	1	female
HG00288	1	female
HG01167	1	male
HG00290	1	male
HG01174	1	female
HG00308	1	male
HG01383	1	male
HG00310	1	male
HG01390	1	female
HG00132	1	female
HG01395	1	male
HG00137	1	female
HG01251	1	female
HG00149	1	male
HG01256	1	male
HG00151	1	male
HG01357	1	female
HG00315	1	female
HG00327	1	female
HG01369	1	female
HG00334	1	female
HG00339	1	female
HG01441	1	female
HG00341	1	male
HG00346	1	female
HG01275	1	female
HG00353	1	female
HG01302	1	male
HG00409	1	male
HG01326	1	female
HG01345	1	female
HG01198	1	female
HG00428	1	female
HG00442	1	male
HG01403	1	female
HG00238	1	female
HG00240	1	female
HG01504	1	female
HG00245	1	female
HG01509	1	male
HG00252	1	male
HG00257	1	female
HG01516	1	female
HG00264	1	male
HG01597	1	female
HG00182	1	male
HG01600	1	female
HG00187	1	male
HG01605	1	female
HG00233	1	female
HG01489	1	female
HG01491	1	male
HG00740	1	female
HG00651	1	female
HG01566	1	female
HG00656	1	male
HG00663	1	female
HG01578	1	female
HG00675	1	female
HG01612	1	female
HG01617	1	male
HG00699	1	female
HG01624	1	male
HG00707	1	male
HG01528	1	female
HG00593	1	female
HG01530	1	male
HG00598	1	male
HG00613	1	male
HG01679	1	female
HG00620	1	female
HG01631	1	male
HG00581	1	female
HG01465	1	female
HG01046	1	female
HG01058	1	female
HG01768	1	female
HG01060	1	male
HG01770	1	female
HG00625	1	male
HG01775	1	male
HG00632	1	female
HG01869	1	female
HG00637	1	male
HG01871	1	female
HG01072	1	male
HG01883	1	female
HG01077	1	female
HG01089	1	female
HG01794	1	female
HG00108	1	male
HG00978	1	female
HG00110	1	female
HG01890	1	male
HG00115	1	male
HG00122	1	female
HG01281	1	female
HG01686	1	male
HG00127	1	female
HG01286	1	male
HG01197	1	male
HG01756	1	male
HG00103	1	male
HG01200	1	male
HG01852	1	male
HG01205	1	female
HG01857	1	female
HG01864	1	male
HG01142	1	male
HG01799	1	female
HG01161	1	male
HG01802	1	female
HG01173	1	male
HG01807	1	female
HG01840	1	male
HG01845	1	female
HG01351	1	female
HG01356	1	male
HG01953	1	male
HG01363	1	female
HG01958	1	female
HG01104	1	male
HG02064	1	male
HG02069	1	female
HG01111	1	female
HG00533	1	male
HG01248	1	female
HG02076	1	male
HG01250	1	male
HG02040	1	male
HG02052	1	female
HG00242	1	male
HG01325	1	male
HG02057	1	female
HG01344	1	male
HG01915	1	female
HG00254	1	female
HG00259	1	female
HG01130	1	male
HG01927	1	female
HG00261	1	female
HG00266	1	female
HG01375	1	female
HG01989	1	female
HG00406	1	male
HG01991	1	male
HG01503	1	male
HG01939	1	female
HG00437	1	female
HG01510	1	female
HG01941	1	male
HG01515	1	male
HG02019	1	female
HG01438	1	female
HG00324	1	female
HG01440	1	male
HG02026	1	male
HG00329	1	male
HG01965	1	female
HG00331	1	female
HG00336	1	male
HG01977	1	male
HG00343	1	female
HG01589	1	male
HG02002	1	male
HG00350	1	female
HG01596	1	male
HG02014	1	male
HG00158	1	female
HG02259	1	male
HG00160	1	male
HG00177	1	female
HG01488	1	male
HG02266	1	female
HG00189	1	male
HG00235	1	female
HG01495	1	female
HG02278	1	female
HG00139	1	male
HG02285	1	male
HG00141	1	male
HG02127	1	female
HG00146	1	female
HG01623	1	female
HG02134	1	male
HG01565	1	male
HG02139	1	female
HG00449	1	female
HG01572	1	female
HG02141	1	male
HG00451	1	male
HG01577	1	male
HG00463	1	male
HG01402	1	male
HG02088	1	male
HG00475	1	male
HG01414	1	female
HG02090	1	male
HG00355	1	female
HG02095	1	female
HG00362	1	female
HG01522	1	female
HG02108	1	female
HG00367	1	female
HG01527	1	male
HG02122	1	male
HG00379	1	female
HG01464	1	male
HG02146	1	male
HG00381	1	female
HG02153	1	female
HG00273	1	male
HG01685	1	female
HG02230	1	female
HG00278	1	male
HG01697	1	female
HG02235	1	female
HG00280	1	male
HG01700	1	male
HG00285	1	female
HG01705	1	male
HG00728	1	male
HG01673	1	female
HG02223	1	female
HG01678	1	male
HG02165	1	female
HG01680	1	male
HG02184	1	female
HG00742	1	male
HG01779	1	female
HG02449	1	male
HG00759	1	female
HG01781	1	male
HG00766	1	female
HG01786	1	female
HG00867	1	female
HG02470	1	male
HG00879	1	female
HG02502	1	female
HG00881	1	male
HG01762	1	female
HG00956	1	female
HG01813	1	female
HG02521	1	male
HG00982	1	male
HG01844	1	male
HG02374	1	male
HG01029	1	female
HG01849	1	male
HG02379	1	male
HG01031	1	male
HG01767	1	male
HG00622	1	male
HG02386	1	male
HG01628	1	female
HG02292	1	female
HG00634	1	male
HG01630	1	male
HG01798	1	female
HG02312	1	female
HG00641	1	female
HG01801	1	female
HG02348	1	female
HG00653	1	male
HG01806	1	female
HG02355	1	male
HG01851	1	female
HG02367	1	male
HG00672	1	female
HG01863	1	female
HG02494	1	female
HG00684	1	female
HG01914	1	male
HG02420	1	male
HG00689	1	male
HG02425	1	female
HG01921	1	female
HG02317	1	male
HG00704	1	male
HG01926	1	male
HG02343	1	male
HG02398	1	male
HG02020	1	male
HG02401	1	male
HG01048	1	male
HG02025	1	female
HG02406	1	male
HG02032	1	male
HG02588	1	male
HG01055	1	female
HG01988	1	male
HG02595	1	female
HG01067	1	female
HG01990	1	male
HG02603	1	male
HG00557	1	female
HG00583	1	male
HG01868	1	female
HG02716	1	female
HG00590	1	female
HG01870	1	female
HG00595	1	male
HG01882	1	male
HG02728	1	female
HG00608	1	female
HG01933	1	female
HG00610	1	male
HG01938	1	male
HG02545	1	male
HG02557	1	male
HG01079	1	male
HG01971	1	female
HG02691	1	female
HG01976	1	female
HG02696	1	male
HG01086	1	female
HG02006	1	female
HG01372	1	female
HG02013	1	male
HG02684	1	male
HG01377	1	male
HG01945	1	female
HG01384	1	female
HG02658	1	female
HG01389	1	male
HG02660	1	male
HG01894	1	female
HG01396	1	female
HG02188	1	female
HG02571	1	female
HG02190	1	female
HG02583	1	female
HG02215	1	female
HG02610	1	male
HG01334	1	male
HG01341	1	male
HG02102	1	female
HG02107	1	male
HG02634	1	male
HG01149	1	female
HG02121	1	female
HG02646	1	female
HG01168	1	female
HG01170	1	male
HG02049	1	female
HG02792	1	male
HG02051	1	male
HG01098	1	female
HG02805	1	female
HG01101	1	male
HG02152	1	female
HG02759	1	male
HG01113	1	female
HG02164	1	female
HG01353	1	male
HG02239	1	female
HG02879	1	female
HG01360	1	female
HG02253	1	male
HG02881	1	male
HG01365	1	male
HG02070	1	male
HG03012	1	male
HG01257	1	female
HG02075	1	female
HG01269	1	female
HG02133	1	female
HG03024	1	male
HG01271	1	male
HG02138	1	male
HG02140	1	female
HG02778	1	female
HG01303	1	female
HG02082	1	male
HG02780	1	male
HG01308	1	male
HG02087	1	female
HG02944	1	male
HG01182	1	male
HG02968	1	male
HG01187	1	male
HG02970	1	female
HG01125	1	female
HG02260	1	female
HG02982	1	male
HG01137	1	female
HG02265	1	male
HG01550	1	male
HG02272	1	female
HG02817	1	female
HG02277	1	male
HG02836	1	male
HG02284	1	male
HG02855	1	female
HG01586	1	male
HG02291	1	male
HG03074	1	male
HG01485	1	male
HG02450	1	female
HG03079	1	female
HG01492	1	female
HG02455	1	male
HG03081	1	male
HG01497	1	male
HG02462	1	female
HG03086	1	female
HG01500	1	male
HG02373	1	male
HG02380	1	male
HG03048	1	male
HG01447	1	female
HG02385	1	male
HG01459	1	female
HG02323	1	male
HG03163	1	male
HG01461	1	male
HG02330	1	male
HG03168	1	female
HG01593	1	female
HG02392	1	male
